"date","variable","value"
2020-03-12,"btc.daily_return",-37.1868984110972
2018-01-16,"btc.daily_return",-16.9527516828925
2020-03-12,"ada.daily_return",-39.5343669085704
2017-11-29,"ada.daily_return",-24.1190862847625
2017-11-01,"ada.daily_return",-21.0814922980634
2018-01-16,"ada.daily_return",-19.7442826396711
2017-10-03,"ada.daily_return",-19.1826507565934
2019-09-24,"ada.daily_return",-18.7757106709812
2018-02-01,"ada.daily_return",-18.2666831647193
2021-01-21,"ada.daily_return",-17.3766358873535
2018-09-05,"ada.daily_return",-16.8121063581179
2020-09-03,"ada.daily_return",-16.77745101827
2021-01-30,"doge.daily_return",-39.7983358175279
2018-01-16,"doge.daily_return",-30.8328874993178
2020-03-12,"doge.daily_return",-29.5952696708405
2018-09-02,"doge.daily_return",-20.7734866169984
2020-07-10,"doge.daily_return",-20.0055726539591
2018-02-05,"doge.daily_return",-19.6413802744853
2017-11-10,"doge.daily_return",-18.1924960408928
2017-12-22,"doge.daily_return",-18.0417684003372
2018-02-01,"doge.daily_return",-16.479284111044
2020-12-23,"doge.daily_return",-16.4194666157921
2020-03-12,"eos.daily_return",-39.5736329864234
2017-12-22,"eos.daily_return",-26.4738177975503
2019-09-24,"eos.daily_return",-23.5329284853281
2018-01-08,"eos.daily_return",-22.5133491003304
2018-01-16,"eos.daily_return",-20.7051410222436
2020-12-23,"eos.daily_return",-20.4846767153891
2018-09-05,"eos.daily_return",-19.437502797668
2018-06-10,"eos.daily_return",-18.9192890887869
2018-04-30,"eos.daily_return",-18.7577125671654
2018-02-05,"eos.daily_return",-18.6519882033812
2021-02-23,"eos.daily_return",-18.4817910661848
2018-01-30,"eos.daily_return",-17.580316829807
2018-01-14,"eos.daily_return",-16.9004539806505
2018-06-22,"eos.daily_return",-16.8872750683743
2018-02-01,"eos.daily_return",-16.5557920420154
2019-01-10,"eos.daily_return",-16.4064051059154
2020-03-12,"eth.daily_return",-42.3088483375589
2021-01-21,"eth.daily_return",-18.8845331993559
2018-09-05,"eth.daily_return",-18.7781642748519
2018-01-16,"eth.daily_return",-18.4847994069443
2017-12-22,"eth.daily_return",-17.964417013777
2019-09-24,"eth.daily_return",-16.7117522750102
2018-02-05,"eth.daily_return",-16.4088514345664
2020-03-12,"iota.daily_return",-41.9807684740765
2017-12-22,"iota.daily_return",-32.0815639621178
2018-01-16,"iota.daily_return",-25.0594268886113
2018-12-14,"iota.daily_return",-21.6274968210506
2020-09-03,"iota.daily_return",-18.2240613190266
2018-09-05,"iota.daily_return",-17.8931831489985
2018-02-05,"iota.daily_return",-17.477201940528
2018-02-01,"iota.daily_return",-17.4431676835909
2018-10-11,"iota.daily_return",-17.4127323437599
2021-02-23,"iota.daily_return",-16.6864282862622
2020-03-16,"iota.daily_return",-16.4770141242844
2018-08-08,"iota.daily_return",-16.4130082364064
2020-03-12,"ltc.daily_return",-36.1581547924742
2018-01-16,"ltc.daily_return",-19.10771439966
2021-01-11,"ltc.daily_return",-18.6110850391347
2020-09-03,"ltc.daily_return",-17.6494167214614
2017-12-22,"ltc.daily_return",-17.0160665676807
2019-09-24,"ltc.daily_return",-16.4868302901907
2020-03-12,"xmr.daily_return",-38.9748342190885
2018-01-16,"xmr.daily_return",-23.0547161157547
2018-11-19,"xmr.daily_return",-18.8982967411637
2018-02-05,"xmr.daily_return",-18.0574301437025
2018-03-08,"xmr.daily_return",-17.5944697973639
2017-11-29,"xmr.daily_return",-17.5383626708947
2017-12-22,"xmr.daily_return",-17.499621375406
2019-07-16,"xmr.daily_return",-17.1963337456215
2018-09-05,"xmr.daily_return",-16.5507488124161
2020-03-12,"xlm.daily_return",-33.6222653401487
2018-01-16,"xlm.daily_return",-26.4815048588673
2017-10-18,"xlm.daily_return",-23.3081311485115
2020-12-23,"xlm.daily_return",-22.033754112583
2017-11-29,"xlm.daily_return",-21.3755831101883
2018-01-04,"xlm.daily_return",-18.8647707105497
2021-02-23,"xlm.daily_return",-17.1500893810204
2018-01-30,"xlm.daily_return",-17.1255351450729
2017-11-10,"xlm.daily_return",-16.9717720866581
2017-12-22,"xlm.daily_return",-16.1655803962683
2020-03-12,"trx.daily_return",-40.7570423655752
2017-12-24,"trx.daily_return",-29.6552956983703
2018-01-16,"trx.daily_return",-28.3475400642352
2018-01-08,"trx.daily_return",-25.9275273207327
2018-01-06,"trx.daily_return",-22.1390755119202
2019-09-24,"trx.daily_return",-20.4055497240156
2018-02-05,"trx.daily_return",-20.1884115575282
2018-01-09,"trx.daily_return",-19.0594469002898
2017-10-07,"trx.daily_return",-17.8877795063939
2018-03-31,"trx.daily_return",-17.7086775565585
2021-02-23,"trx.daily_return",-17.6122890783063
2018-01-14,"trx.daily_return",-17.3934553304167
2018-10-11,"trx.daily_return",-17.2945225779172
2018-01-11,"trx.daily_return",-16.6227108571856
2019-07-16,"trx.daily_return",-16.520628011216
2018-11-19,"trx.daily_return",-16.1453275813581
2018-01-21,"trx.daily_return",-16.1215828504663
2020-09-05,"trx.daily_return",-16.0909196920994
